instruction,input,response
Ano ang mga pangunahing aral ng Budismo?,,"Ang mga pangunahing aral ng Budismo (Dharma), na itinatag ni Siddhartha Gautama (ang Buddha), ay nakatuon sa pag-unawa at pagdaig sa pagdurusa (Dukkha) sa pamamagitan ng etikang pag-uugali, disiplinang pangkaisipan, at karunungan. Ang pag-unawang ito ay pangunahing nilalaman sa Apat na Marangal na Katotohanan at sa Marangal na Waluhang Daan.

Ang Apat na Marangal na Katotohanan:
1. Dukkha (Pagdurusa): Ang buhay ay hindi maiiwasang may pagdurusa, kawalang-kasiyahan, at kawalang-katiyakan (impermanence).
2. Samudaya (Pinagmulan ng Pagdurusa): Ang pagdurusa ay nagmumula sa pagkakabit, pagnanasa, at kamangmangan (trishna).
3. Nirodha (Pagtigil ng Pagdurusa): Ang pagdurusa ay maaaring matapos kapag tumigil ang pagnanasa at pagkakabit, na humahantong sa Nirvana.
4. Magga (Daan tungo sa Pagtigil ng Pagdurusa): Ang daan upang wakasan ang pagdurusa ay ang Marangal na Waluhang Daan.

Ang Marangal na Waluhang Daan ay ang praktikal na gabay, na kadalasang ikinakategorya sa tatlong seksyon:

Karunungan (Prajna):
1. Tamang Pag-unawa (Samma ditthi): Makita ang mundo at ang Apat na Marangal na Katotohanan kung ano talaga sila.
2. Tamang Pag-iisip (Samma sankappa): Mga pag-iisip ng pagtalikod (renunciation), mabuting kalooban, at hindi karahasan.

Etikang Pag-uugali (Sila):
3. Tamang Pananalita (Samma vaca): Pag-iwas sa pagsisinungaling, naghahati na pananalita, masasakit na salita, at walang kabuluhang daldal.
4. Tamang Pagkilos (Samma kammanta): Pag-iwas sa pisikal na pananakit, pagnanakaw, at sekswal na maling pag-uugali.
5. Tamang Kabuhayan (Samma ajiva): Paghahanapbuhay sa paraang hindi nakakapinsala.

Disiplinang Pangkaisipan (Samadhi):
6. Tamang Pagsisikap (Samma vayamo): Paglinang ng kapaki-pakinabang na kalagayan ng isip at pag-iwan sa mga di-kapaki-pakinabang.
7. Tamang Kamalayan (Samma sati): Pagpapanatili ng kamalayan sa katawan, damdamin, isip, at mental na bagay.
8. Tamang Konsentrasyon (Samma samadhi): Pagbuo ng nakatuon na meditasyon na humahantong sa mas mataas na kalagayan ng kamalayan."
Aling limang elemento ang bumubuo ng humigit-kumulang 99% ng masa ng mga nabubuhay na organismo?,"Ang mga nabubuhay na organismo ay pangunahing binubuo ng anim na hindi-metal na elemento: oksiheno, karbon, hidroheno, nitroheno, kalsiyum, at posporo. Gayunpaman, ang apat na pinakamaraming elemento—oksiheno, karbon, hidroheno, at nitroheno—ay bumubuo ng mga 96% ng bigat ng katawan ng karamihan sa mga hayop at halaman. Kapag isinama ang kalsiyum, ang limang elementong ito (Oksiheno, Karbon, Hidroheno, Nitroheno, at Kalsiyum) ay bumubuo ng humigit-kumulang 99% ng masa ng mga nabubuhay na organismo.","Oksiheno, Karbon, Hidroheno, Nitroheno, at Kalsiyum"
"Ano ang layunin ng Wardenclyffe Tower, at kailan tuluyang binuwag ang istruktura?","Ang Wardenclyffe Tower, na kilala rin bilang Tesla Tower, ay isang maagang eksperimental na istasyon ng wireless transmission na dinisenyo at itinayo ni Nikola Tesla sa North Shore ng Long Island, New York. Nagsimula ang konstruksyon noong 1901. Layunin ni Tesla na ang tore ay maging isang prototype para sa isang 'World Wireless System' para sa transatlantic telephony, pagbobrodkast, at pagpapakita ng wireless power transmission. Gayunpaman, dahil sa matinding problema sa pondo at salungat na interes mula sa mga mamumuhunan, huminto ang konstruksyon bandang 1906. Tuluyan nang giniba ang istruktura upang maging scrap metal noong 1917.","Ang layunin ng Wardenclyffe Tower ay maging isang prototype para sa isang 'World Wireless System' para sa transatlantic telephony, pagbobrodkast, at pagpapakita ng wireless power transmission. Ang istruktura ay giniba noong 1917."
Ipaliwanag ang penomenong nagiging sanhi upang maging asul ang langit tuwing araw.,,"Ang asul na kulay ng langit ay sanhi ng isang penomeno na tinatawag na Rayleigh scattering. Ang sikat ng araw ay umaabot sa atmospera ng Daigdig at ikinakalat sa lahat ng direksyon ng maliliit na molekula ng gas. Dahil ang asul na liwanag ay naglalakbay bilang mas maikli, mas maliliit na alon, ito ay mas malawak na ikinakalat kaysa sa ibang kulay (tulad ng pula o dilaw)."
Ipaliwanag ang pundamental na konsepto ng isang blockchain at ang pinagmulan nito.,Orihinal na iminungkahi noong 1991 nina Stuart Haber at W. Scott Stornetta upang lagyan ng timestamp ang mga digital na dokumento; pinasikat sa paglikha ng Bitcoin noong 2008 ni Satoshi Nakamoto; pundamental na isang distributed ledger technology (DLT); gumagamit ng cryptographic hashing upang ikonekta ang 'mga block' ng data ng transaksyon; ang data ay hindi mababago (immutable) kapag naitala na; nangangailangan ng consensus mechanisms (tulad ng Proof of Work o Proof of Stake) upang patunayan ang mga bagong block.,"Ang blockchain ay isang uri ng distributed ledger technology (DLT) na nagtatala ng data, karaniwang mga transaksyon, sa mga magkakaugnay na yunit na tinatawag na 'mga block.' Ang bawat block ay cryptographically hashed sa naunang block, na ginagawang hindi mababago (immutable) at transparent ang naitalang data. Bagamat ang konsepto ay orihinal na iminungkahi noong 1991 nina Haber at Stornetta para sa secure digital timestamping, pinasikat ito noong 2008 ni Satoshi Nakamoto bilang pundasyong teknolohiya para sa cryptocurrency na Bitcoin. Ang mga bagong block ay idinaragdag sa chain pagkatapos lamang na mapatunayan ng isang consensus mechanism, tulad ng Proof of Work, ang data."
"Gamit ang ibinigay na teksto, isasaad ang petsa at lugar ng kapanganakan ni Albert Einstein, ang pangalan ng paaralan na dinaluhan niya sa Munich, at kung anong mga asignatura ang kanyang ginalingan.","Ipinanganak si Albert Einstein sa Ulm, Germany, noong Marso 14, 1879. Makalipas ang anim na linggo, lumipat ang pamilya sa Munich, kung saan nagtatag ang kanyang ama, si Hermann Einstein, at ang kanyang tiyuhin, si Jakob Einstein, ng isang kumpanya ng electrical engineering. Nag-aral si Albert sa Luitpold Gymnasium sa Munich. Bagama't kadalasang itinuturing na mahina siyang estudyante, ginalingan niya ang matematika at pisika mula sa murang edad. Madalas siyang hindi masaya sa kanyang pag-aaral at nahanap niyang nakasasakal ang mahigpit na disiplina. Noong 1895, sa edad na 16, bumagsak si Einstein sa kanyang entrance exam para sa Swiss Federal Polytechnic School sa Zurich, ngunit kalaunan ay muli siyang nag-aplay at tinanggap noong 1896.","Ipinanganak si Albert Einstein sa Ulm, Germany, noong Marso 14, 1879. Nag-aral siya sa Luitpold Gymnasium sa Munich. Ginagalingan niya ang matematika at pisika mula sa murang edad."
Ipaliwanag ang prinsipyo ng Occam's Razor.,,"Ang Occam's Razor ay isang prinsipyong pilosopikal na nagsasaad na sa gitna ng magkakaribal na hipotesis na parehong tumpak maghula, ang pipiliin ay ang may pinakakonting pagpapalagay. Madalas itong binubuod bilang: 'Ang pinakasimpleng paliwanag ay kadalasang siyang pinakamahusay.' Hindi ito isang panuntunan ng lohika o ebidensya mismo, kundi isang gabay na ginagamit upang alisin ang hindi kinakailangang kumplikasyon, na ipinangalan kay William ng Ockham, isang prayleng Franciscan noong ika-14 na siglo."
Ano ang pinakamainam na paraan ng pagtimpla ng kape gamit ang French Press?,,"Para sa pinakamalinis at pinakamayaman na lasa gamit ang French Press, sundin ang mga hakbang na ito:

1. Painitin ang Tubig: Pakuluan ang sariwang tubig, pagkatapos ay hayaan itong magpahinga sa loob ng 30-60 segundo (naglalayon para sa 195°F hanggang 205°F / 90°C hanggang 96°C).
2. Gilingin ang Butil: Gumamit ng magaspang at pantay na giling, halos kasing-tekstura ng asin sa dagat. Ang pinong giling ay lalagos sa salaan (filter), na magreresulta sa magaspang na inumin.
3. Idagdag ang Kape: Ilagay ang iyong giling sa pitsel (carafe). Ang karaniwang ratio ay 1 bahagi ng kape sa 15 bahagi ng tubig (mga 2 kutsara bawat 6 na ounces).
4. Hayaang 'Mamukadkad' ang Kape (Bloom): Ibuhos ang dalawang beses na dami ng tubig kaysa sa kape sa ibabaw ng giling. Maghintay ng 30 segundo. Pinapayagan nito ang CO2 na lumabas, tinitiyak ang pantay na pagkuha (extraction).
5. Punuin ang Press: Dahan-dahang ibuhos ang natitirang mainit na tubig sa ibabaw ng giling.
6. Ibabad: Ilagay ang takip sa press nang hindi ito itinitulak (plunging). Hayaang nakababad ang kape sa loob ng hindi bababa sa 4 na minuto.
7. Dahan-dahang Itulak: Patuloy at dahan-dahang itulak pababa ang plunger, itinutulak ang giling patungo sa ilalim. Ang prosesong ito ay dapat tumagal ng mga 30 segundo.
8. Ihain Agad: Huwag hayaang nakaupo ang kape sa pitsel pagkatapos itulak, dahil patuloy itong kukuha (extract) at magiging mapait. Ibuhos agad ang lahat ng kape sa mga tasa (mugs)."
"Pangalanan ang apat na pangunahing kabundukan sa magkadugtong na Estados Unidos, na nakalista ayon sa heograpiya mula sa baybayin ng Pasipiko patungong silangan.",,"Coast Ranges, Sierra Nevada/Cascades, Rocky Mountains, Appalachian Mountains"
Ipaliwanag ang mga bahagi ng pagtatakda ng mga layuning SMART at magbigay ng maikling halimbawa na nagpapakita ng layunin na tumutugon sa lahat ng limang pamantayan.,,"Ang SMART ay isang acronym para sa Specific (Tiyak), Measurable (Nasusukat), Achievable (Naaabot), Relevant (Nauugnay), at Time-bound (May Takdang Oras). Ito ay isang balangkas na dinisenyo upang tulungan ang mga indibidwal na magtakda ng malinaw, nakatuon, at maaabot na mga layunin.

**S - Specific (Tiyak):** Ang layunin ay dapat malinaw at hindi nagdududa. Dapat nitong sagutin ang limang tanong na 'W': Sino ang kasangkot? Ano ang gusto kong makamit? Saan ito gagawin? Kailan ito gagawin? Bakit ko ito ginagawa?

**M - Measurable (Nasusukat):** Dapat mayroong kongkretong pamantayan para sa pagsukat ng pag-unlad at pagtukoy kung kailan naabot ang layunin. Sinusuot nito ang mga tanong tulad ng: Gaano karami? Ilan? Paano ko malalaman na ito ay natapos?

**A - Achievable (o Naaabot):** Ang layunin ay dapat makatotohanan at madaling maabot, ibinigay ang mga mapagkukunan at oras na magagamit. Makatwiran ba ang layunin para sa taong nagsisikap na makamit ito?

**R - Relevant (Nauugnay):** Ang layunin ay dapat umayon sa mas malawak na pang-organisasyon o personal na mga layunin. Mahalaga ba ang layuning ito, at ito ba ang tamang oras upang ituloy ito?

**T - Time-bound (May Takdang Oras):** Ang layunin ay dapat may tinukoy na timeline, kasama ang panimulang petsa at target na petsa ng pagtatapos. Lumilikha ito ng kinakailangang pagkaapurahan at pumipigil sa mga gawain na maging walang katapusan.

---

**Halimbawa ng isang SMART na Layunin:**

""Tatapusin ko ang bagong internal training manual (S) sa pamamagitan ng pagtatapos ng limang content module bawat linggo (M) upang matiyak na matatapos ang buong draft sa pagtatapos ng susunod na fiscal quarter (T). Kinakailangan ito upang matagumpay na mai-onboard ang aming 25 bagong empleyado (R), at naglaan ako ng 10 dedikadong oras bawat linggo upang maging naaabot ang layuning ito (A)."""
