instruction,input,response
Cad iad buntéarmaí an Búdachais?,,"Tá buntheagasc an Búdachais (Dharma), mar a bhunaigh Siddhartha Gautama (an Búda é), dírithe ar thuiscint agus ar shárú na fulaingte (Dukkha) trí iompar eiticiúil, smacht meabhrach, agus eagna. Tá an tuiscint seo le fáil go príomha sna Ceithre Fhírinne Uasala agus sa Chosán Uasal Ochtfhillte.

Na Ceithre Fhírinne Uasala:
1. Dukkha (Fulaingt): Cuimsíonn an saol fulaingt, míshásamh, agus neamhbhuanacht dosheachanta.
2. Samudaya (Bunús na Fulaingte): Eascraíonn an fhulaingt as ceangaltán, dúil, agus aineolas (trishna).
3. Nirodha (Stad na Fulaingte): Is féidir leis an bhfulaingt stopadh nuair a stopann an dúil agus an ceangaltán, rud a threoraíonn go Nirvana.
4. Magga (Cosán go Stad na Fulaingte): Is é an Cosán Uasal Ochtfhillte an bealach chun deireadh a chur leis an bhfulaingt.

Is é an Cosán Uasal Ochtfhillte an treoir phraiticiúil, a chatagóirítear go minic i dtrí roinn:

Eagna (Prajna):
1. Tuiscint Cheart (Samma ditthi): An domhan agus na Ceithre Fhírinne Uasala a fheiceáil mar atá siad i ndáiríre.
2. Smaoineamh Ceart (Samma sankappa): Smaointe séanta, dea-thoil, agus neamhfhoréigin.

Iompar Eiticiúil (Sila):
3. Urlabhra Cheart (Samma vaca): Bréaga, caint scoilteach, focail gharbha, agus caint dhíomhaoin a sheachaint.
4. Gníomh Ceart (Samma kammanta): Staonadh ó dhochar coirp, gadaíocht, agus mímhoráltacht ghnéasach.
5. Slí Bheatha Cheart (Samma ajiva): Slí bheatha a shaothrú ar bhealach nach bhfuil díobhálach.

Smacht Meabhrach (Samadhi):
6. Iarracht Cheart (Samma vayamo): Stáit mheabhracha fhiúntacha a chothú agus stáit neamhfhiúntacha a thréigean.
7. Aireachas Ceart (Samma sati): Feasacht a choinneáil ar an gcorp, ar mhothúcháin, ar an intinn, agus ar réada meabhracha.
8. Tiúchan Ceart (Samma samadhi): Machnamh dírithe a fhorbairt a threoraíonn chuig stáit Chonaice níos airde."
Cé na cúig dhúil a chuimsíonn thart ar 99% de mhais na n-orgánach beo?,"Tá orgánaigh bheo comhdhéanta go príomha de shé dhúil neamhmhiotalacha: ocsaigin, carbón, hidrigin, nítrigin, cailciam, agus fosfar. Mar sin féin, is ionann an ceithre dhúil is flúirsí—ocsaigin, carbón, hidrigin, agus nítrigin—agus tuairim is 96% de mheáchan coirp an chuid is mó d’ainmhithe agus de phlandaí. Nuair a chuirtear cailciam san áireamh, is iad na cúig dhúil seo (Ocsaigin, Carbón, Hidrigin, Nítrigin, agus Cailciam) a chuimsíonn thart ar 99% de mhais na n-orgánach beo.","Ocsaigin, Carbón, Hidrigin, Nítrigin, agus Cailciam"
"Cad é an cuspóir a bhí ag Túr Wardenclyffe, agus cén uair a díchóimeáladh an struchtúr sa deireadh?","Ba stáisiún tarchuradóireachta luath turgnamhach gan sreang é Túr Wardenclyffe, ar a dtugtar freisin Túr Tesla, a dhear agus a thóg Nikola Tesla ar Chósta Thuaidh Long Island, Nua-Eabhrac. Cuireadh tús leis an tógáil i 1901. Bhí sé i gceist ag Tesla go mbeadh an túr ina fhréamhshamhail de 'Chóras Domhanda Gan Sreang' (World Wireless System) le haghaidh teileafónaíochta trasatlantach, craolacháin, agus chun tarchur cumhachta gan sreang a léiriú. Mar sin féin, mar gheall ar dhrochfhadhbanna maoinithe agus leasanna contrártha ó infheisteoirí, cuireadh stop leis an tógáil timpeall 1906. Scriosadh an struchtúr sa deireadh le haghaidh dramh-mhiotail i 1917.","Ba é cuspóir Túr Wardenclyffe ná a bheith ina fhréamhshamhail de 'Chóras Domhanda Gan Sreang' le haghaidh teileafónaíochta trasatlantach, craolacháin, agus chun tarchur cumhachta gan sreang a léiriú. Scriosadh an struchtúr i 1917."
Mínigh an feiniméan is cúis leis go bhfuil an spéir gorm i rith an lae.,,"Is feiniméan ar a dtugtar scaipeadh Rayleigh is cúis le dath gorm na spéire. Sroicheann solas na gréine atmaisféar an Domhain agus scaiptear é i ngach treo ag móilíní beaga gáis. Toisc go dtaistealaíonn solas gorm mar thonnanna níos giorra, níos lú, scaiptear é níos forleithne ná dathanna eile (cosúil le dearg nó buí)."
Mínigh bunchoincheap an bhlocshlabhra agus a bhunús.,Molta ar dtús i 1991 ag Stuart Haber agus W. Scott Stornetta chun dátaí ama a chur ar dhoiciméid dhigiteacha; cuireadh i mbéal an phobail é le cruthú Bitcoin in 2008 ag Satoshi Nakamoto; go bunúsach is teicneolaíocht mórleabhair dháilte (TMD) í; úsáideann sí haisíocht chripteagrafach chun 'bloic' de shonraí idirbheart a nascadh; tá na sonraí doláimhsithe a luaithe a thaifeadtar iad; éilíonn sí meicníochtaí comhthola (cosúil le Cruthúnas Oibre nó Cruthúnas Gealltanais) chun bloic nua a bhailíochtú.,"Is cineál teicneolaíochta mórleabhair dháilte (TMD) é blocshlabhra a thaifeadann sonraí, idirbhearta go hiondúil, i n-aonaid nasctha ar a dtugtar 'bloic.' Déantar haisíocht chripteagrafach ar gach bloc chuig an mbloc roimhe sin, rud a fhágann go bhfuil na sonraí taifeadta doláimhsithe agus trédhearcach. Cé gur mhol Haber agus Stornetta an coincheap ar dtús i 1991 le haghaidh dáta ama digiteach slán, cuireadh i mbéal an phobail é in 2008 ag Satoshi Nakamoto mar an teicneolaíocht bhunúsach don chriptea-airgeadra Bitcoin. Cuirtear bloic nua leis an slabhra ach amháin tar éis do mheicníocht chomhthola, mar shampla Cruthúnas Oibre, na sonraí a bhailíochtú."
"Agus an téacs a chuirtear ar fáil á úsáid, luaigh dáta agus áit bhreithe Albert Einstein, ainm na scoile a d'fhreastail sé uirthi i München, agus na hábhair a raibh barr feabhais aige iontu.","Rugadh Albert Einstein in Ulm, an Ghearmáin, ar 14 Márta 1879. Sé seachtaine ina dhiaidh sin, bhog an teaghlach go München, áit ar bhunaigh a athair, Hermann Einstein, agus a uncail, Jakob Einstein, comhlacht innealtóireachta leictreach. D'fhreastail Albert ar an Luitpold Gymnasium i München. Cé gur minic a measadh gur droch-mhac léinn a bhí ann, bhí barr feabhais aige ar an matamaitic agus ar an bhfisic ó aois óg. Ba mhinic é míshásta lena chuid scolaíochta agus bhí an smacht docht ag cur isteach air. Sa bhliain 1895, in aois a 16 bliana, theip ar Einstein ina scrúdú iontrála don Scoil Pholaitéicnice Chónaidhme na hEilvéise i Zürich, ach rinne sé athiarratas sa deireadh agus glacadh leis i 1896.","Rugadh Albert Einstein in Ulm, an Ghearmáin, ar 14 Márta 1879. D'fhreastail sé ar an Luitpold Gymnasium i München. Bhí barr feabhais aige ar an matamaitic agus ar an bhfisic ó aois óg."
Mínigh prionsabal Rásúir Occam.,,"Is prionsabal fealsúnach é Rásúr Occam a deir gur chóir an ceann leis an líon is lú toimhdí a roghnú as measc hipitéisí iomaíocha a thuar chomh maith céanna. Déantar é a achoimriú go minic mar seo: 'Is é an míniú is simplí is fearr de ghnáth.' Ní riail loighce ná fianaise ann féin é, ach treoirlíne a úsáidtear chun castacht neamhriachtanach a ghearradh amach, ainmnithe i ndiaidh William de Ockham, bráthair Proinsiasach ón 14ú haois."
Cad é an modh is fearr chun caife a ghrúdú ag baint úsáide as Preas Francach?,,"Chun an phróifíl blaistithe is glaine agus is saibhre a bhaint amach ag úsáid Preas Francach, lean na céimeanna seo:

1. Teas an tUisce: Tabhair uisce úr chun fiuchta, ansin lig dó scíth a ligean ar feadh 30-60 soicind (ag díriú ar 195°F go 205°F / 90°C go 96°C).
2. Meilt na Pónairí: Úsáid meilt garbh, aonfhoirmeach, gar do uigeacht salainn farraige. Sleamhnóidh meilte mín tríd an scagaire mogall, rud a fhágann cupán gránna.
3. Cuir Caife leis: Cuir do mheilte isteach sa charaf. Is é an cóimheas caighdeánach ná 1 chuid caife go 15 chuid uisce (thart ar 2 spúnóg bhoird in aghaidh 6 unsa).
4. Bláthaigh an Caife: Doirt dhá oiread an méid uisce agus caife thar na meilte. Fan 30 soicind. Ligeann sé seo don CO2 scaoileadh, ag cinntiú go mbaintear an t-eastóscadh go cothrom.
5. Líon an Preas: Doirt an chuid eile den uisce te thar na meilte go réidh.
6. Lig don Chaife Sáthadh: Cuir an clúdach ar an bpreas gan é a bhrú síos. Lig don chaife sáthadh ar feadh 4 nóiméad ar a laghad.
7. Brúigh go Mall: Brúigh an tumadóir síos go seasta agus go mall, ag brú na meilte go bun. Ba chóir go dtógfadh an próiseas seo thart ar 30 soicind.
8. Freastal Láithreach: Ná fág an caife ina shuí sa charaf tar éis brú, mar go leanfaidh sé ag eastóscadh agus go n-éireoidh sé searbh. Doirt an caife go léir isteach i muganna láithreach."
"Ainmnigh na ceithre phríomhshlabhra sliabh sna Stáit Aontaithe tadhlacha, liostaithe go geografach ón gcósta Ciúin soir.",,"Raonta an Chósta, Sierra Nevada/Na Cascáidigh, Na Sléibhte Creagacha, Sléibhte Apaláiseacha"
Mínigh comhpháirteanna spriocanna SMART a shocrú agus tabhair sampla gairid a léiríonn sprioc a chomhlíonann na cúig chritéar ar fad.,,"Is acrainm é SMART do Sonrach, Inmheasta, Inbhainte, Ábhartha, agus Teoranta in Am. Is creatlach é atá ceaptha chun cabhrú le daoine aonair cuspóirí soiléire, dírithe agus insroichte a shocrú.

**S - Sonrach:** Ní mór an sprioc a bheith soiléir agus gan débhrí. Ba chóir dó na cúig cheist 'C' (nó 'W' i mBéarla) a fhreagairt: Cé atá i gceist? Cad ba mhaith liom a bhaint amach? Cá ndéanfar é seo? Cathain a dhéanfar é seo? Cén fáth a bhfuil mé á dhéanamh seo?

**M - Inmheasta:** Ní mór critéir nithiúla a bheith ann chun dul chun cinn a thomhas agus chun a chinneadh cathain a baineadh an sprioc amach. Freagraíonn sé seo ceisteanna mar: Cé mhéid? Cé mhéad? Conas a bheidh a fhios agam cathain a bheidh sé bainte amach?

**A - Inbhainte (nó Insroichte):** Ba chóir go mbeadh an sprioc réadúil agus laistigh de bhaint amach, ag cur na n-acmhainní agus an ama atá ar fáil san áireamh. An bhfuil an sprioc réasúnta don duine atá ag iarraidh é a bhaint amach?

**R - Ábhartha:** Ba chóir go mbeadh an sprioc ag teacht le cuspóirí eagraíochtúla nó pearsanta níos leithne. An bhfuil tábhacht leis an sprioc seo, agus an é seo an t-am ceart chun é a shaothrú?

**T - Teoranta in Am:** Ní mór amlíne shainithe a bheith ag an sprioc, lena n-áirítear dáta tosaithe agus dáta críochnaithe sprice. Cruthaíonn sé seo an práinn riachtanach agus cuireann sé cosc ar thascanna imeacht gan stad.

---

**Sampla de Sprioc SMART:**

""Críochnóidh mé an lámhleabhar oiliúna inmheánach nua (S) trí chúig mhodúl ábhair a chríochnú in aghaidh na seachtaine (M) chun a chinntiú go mbeidh an dréacht iomlán críochnaithe faoi dheireadh na chéad ráithe fioscaí eile (T). Tá sé seo riachtanach chun ár 25 fhostaí nua a thabhairt ar bord go rathúil (R), agus tá 10 n-uaire an chloig tiomnaithe curtha i leataobh agam in aghaidh na seachtaine chun an sprioc seo a dhéanamh insroichte (A)."""
